45,300214,日科化学,详细  数据,751万,3669万,4101万,1.88亿,-,3522万,1899万,1.11亿,-,59.10,7676万,01-20,http://data.eastmoney.com/bbsj/zcfz/300214.html
46,002563,森马服饰,详细  数据,7687万,3453万,2.85亿,5.43亿,-,3563万,1121万,1.27亿,-,23.37,4.16亿,01-20,http://data.eastmoney.com/bbsj/zcfz/002563.html
47,300177,中海达,详细  数据,1197万,1358万,2003万,6648万,-,1742万,994万,4683万,-,70.44,1965万,01-19,http://data.eastmoney.com/bbsj/zcfz/300177.html
48,300179,四方达,详细  数据,1508万,1459万,1637万,6567万,-,656万,1.47万,915万,-,13.93,5652万,01-19,http://data.eastmoney.com/bbsj/zcfz/300179.html
49,300175,朗源股份,详细  数据,859万,3933万,1.79亿,3.23亿,-,8414万,61.28万,2.52亿,-,77.97,7116万,01-19,http://data.eastmoney.com/bbsj/zcfz/300175.html
50,300178,腾邦国际,详细  数据,5858万,2344万,-,2.77亿,-,6460万,369万,1.63亿,-,58.98,1.13亿,01-19,http://data.eastmoney.com/bbsj/zcfz/300178.html
51,300176,鸿特科技,详细  数据,2153万,4348万,5549万,3.20亿,-,5496万,185万,2.20亿,-,68.71,1.00亿,01-19,http://data.eastmoney.com/bbsj/zcfz/300176.html
52,601616,广电电气,详细  数据,5846万,3.26亿,2.38亿,10.44亿,-,3.45亿,8432万,7.74亿,-,74.17,2.70亿,01-17,http://data.eastmoney.com/bbsj/zcfz/601616.html
53,002546,新联电子,详细  数据,4347万,4184万,3034万,1.48亿,-,3103万,113万,6435万,-,43.59,8329万,01-17,http://data.eastmoney.com/bbsj/zcfz/002546.html
54,601799,星宇股份,详细  数据,4368万,5157万,8556万,3.75亿,-,8050万,59.25万,1.82亿,-,48.51,1.93亿,01-17,http://data.eastmoney.com/bbsj/zcfz/601799.html
55,002545,东方铁塔,详细  数据,8429万,2.00亿,7.26亿,14.05亿,-,1.38亿,6.74亿,12.24亿,-,87.07,1.82亿,01-17,http://data.eastmoney.com/bbsj/zcfz/002545.html
56,300170,汉得信息,详细  数据,5265万,4986万,162万,1.19亿,-,233万,268万,4291万,-,36.15,7581万,01-14,http://data.eastmoney.com/bbsj/zcfz/300170.html
57,300192,科斯伍德,详细  数据,2603万,2727万,2706万,1.16亿,-,1737万,259万,5594万,-,48.38,5970万,01-14,http://data.eastmoney.com/bbsj/zcfz/300192.html
58,300171,东富龙,详细  数据,8313万,2470万,8287万,2.67亿,-,1295万,1.05亿,1.53亿,-,57.44,1.14亿,01-14,http://data.eastmoney.com/bbsj/zcfz/300171.html
59,300174,元力股份,详细  数据,554万,549万,572万,5573万,-,452万,18.96万,1914万,-,34.34,3660万,01-14,http://data.eastmoney.com/bbsj/zcfz/300174.html
60,300172,中电环保,详细  数据,6501万,8233万,8025万,2.77亿,-,5742万,7904万,1.76亿,-,63.76,1.00亿,01-14,http://data.eastmoney.com/bbsj/zcfz/300172.html
61,300173,智慧松德,详细  数据,1517万,3657万,4242万,1.33亿,-,3171万,3274万,7771万,-,58.22,5576万,01-14,http://data.eastmoney.com/bbsj/zcfz/300173.html
62,002577,雷柏科技,详细  数据,1296万,3008万,4285万,1.14亿,-,6113万,185万,6867万,-,60.10,4558万,01-13,http://data.eastmoney.com/bbsj/zcfz/002577.html
63,002565,顺灏股份,详细  数据,7973万,1.10亿,1.09亿,3.71亿,-,9055万,178万,1.98亿,-,53.44,1.73亿,01-13,http://data.eastmoney.com/bbsj/zcfz/002565.html
64,002544,杰赛科技,详细  数据,6575万,1.91亿,8888万,4.72亿,20.0,1.20亿,638万,2.83亿,14.7,59.83,1.90亿,01-11,http://data.eastmoney.com/bbsj/zcfz/002544.html
65,601137,博威合金,详细  数据,6426万,2.56亿,2.84亿,8.76亿,-,2.72亿,4535万,5.83亿,-,66.59,2.93亿,01-11,http://data.eastmoney.com/bbsj/zcfz/601137.html
66,002543,万和电气,详细  数据,1.03亿,1.03亿,4.01亿,9.23亿,-,2.29亿,1.59亿,7.88亿,-,85.38,1.35亿,01-11,http://data.eastmoney.com/bbsj/zcfz/002543.html
67,002542,中化岩土,详细  数据,1345万,3776万,833万,7798万,-,4157万,259万,5423万,-,69.54,2375万,01-11,http://data.eastmoney.com/bbsj/zcfz/002542.html
68,601519,大智慧,详细  数据,7188万,1398万,-,1.28亿,-,208万,5639万,5910万,-,46.24,6871万,01-11,http://data.eastmoney.com/bbsj/zcfz/601519.html
69,601258,庞大集团,详细  数据,23.16亿,6.09亿,17.19亿,82.65亿,-,6.73亿,9560万,75.81亿,-,91.73,6.83亿,01-10,http://data.eastmoney.com/bbsj/zcfz/601258.html
70,002560,通达股份,详细  数据,2711万,1.32亿,9210万,3.50亿,-,7556万,7476万,2.30亿,-,65.82,1.20亿,01-10,http://data.eastmoney.com/bbsj/zcfz/002560.html
71,300167,迪威迅,详细  数据,1272万,2602万,1900万,7956万,-,471万,179万,2393万,-,30.07,5563万,01-06,http://data.eastmoney.com/bbsj/zcfz/300167.html
72,300166,东方国信,详细  数据,144万,1938万,27.11万,2400万,-,204万,-,836万,-,34.82,1564万,01-06,http://data.eastmoney.com/bbsj/zcfz/300166.html
