54,601618,中国中冶,详细,0.12,1261亿,24.76,28.48,29.07亿,8.69,-24.96,3.1489,3.75,-0.3912,12.27,不分配不转增,工程建设,08-31,http://data.eastmoney.com/bbsj/601618.html
55,002340,格林美,详细,0.11,70.26亿,63.92,30.55,4.11亿,50.83,40.36,2.0512,5.33,0.1107,20.09,不分配不转增,材料行业,08-31,http://data.eastmoney.com/bbsj/002340.html
56,002474,榕基软件,详细,0.0405,3.46亿,15.95,23.27,2522万,21.27,-26.98,2.3207,1.76,-0.0858,30.44,不分配不转增,软件服务,08-31,http://data.eastmoney.com/bbsj/002474.html
57,601258,庞大集团,详细,0.04,271亿,-17.65,-8.02,2.59亿,-12.82,364.58,2.114,1.93,-1.034,8.82,不分配不转增,商业百货,08-31,http://data.eastmoney.com/bbsj/601258.html
58,002266,浙富控股,详细,0.0322,5.30亿,-1.11,34.52,6371万,23.85,174.01,1.6033,2.04,-0.0905,20.91,不分配不转增,机械行业,08-31,http://data.eastmoney.com/bbsj/002266.html
59,601186,中国铁建,详细,0.56,3090亿,6.93,34.70,80.09亿,22.78,34.06,10.2815,5.53,-3.3792,9.70,不分配不转增,工程建设,08-31,http://data.eastmoney.com/bbsj/601186.html
60,601558,ST锐电,详细,0.0007,3.09亿,1157.68,1761.95,405万,-99.07,205.20,0.2157,0.31,-0.0496,15.05,不分配不转增,输配电气,08-31,http://data.eastmoney.com/bbsj/601558.html
61,002180,纳思达,详细,0.2957,104亿,-6.32,6.63,3.13亿,130.78,166.94,3.9963,7.45,0.5221,37.94,不分配不转增,电子元件,08-31,http://data.eastmoney.com/bbsj/002180.html
62,601390,中国中铁,详细,0.394,3161亿,5.27,12.96,95.52亿,23.94,98.75,6.6688,6.09,-1.2583,9.99,不分配不转增,工程建设,08-31,http://data.eastmoney.com/bbsj/601390.html
63,002250,联化科技,详细,0.01,18.20亿,-6.07,-16.67,915万,-94.57,-185.14,6.0645,0.16,0.1039,33.31,不分配不转增,化工行业,08-31,http://data.eastmoney.com/bbsj/002250.html
64,601118,海南橡胶,详细,-0.0925,22.17亿,-59.39,2.83,-3.85亿,-210.94,47.72,2.1466,-4.39,-0.1548,8.19,不分配不转增,塑胶制品,08-31,http://data.eastmoney.com/bbsj/601118.html
65,601007,金陵饭店,详细,0.157,4.96亿,16.06,-14.11,4707万,-3.26,98.38,4.8057,3.35,0.4192,64.44,不分配不转增,旅游酒店,08-31,http://data.eastmoney.com/bbsj/601007.html
66,002098,浔兴股份,详细,0.1014,11.44亿,64.01,14.10,3629万,-43.47,901.25,3.4886,2.93,0.0906,35.98,不分配不转增,化纤行业,08-31,http://data.eastmoney.com/bbsj/002098.html
67,002089,新海宜,详细,0.0097,1.91亿,-69.30,11.78,1331万,-76.24,-126.90,1.2757,0.76,0.0445,30.81,不分配不转增,通讯行业,08-31,http://data.eastmoney.com/bbsj/002089.html
68,601669,中国电建,详细,0.2652,1269亿,5.31,4.88,40.57亿,9.16,11.54,4.9288,5.38,-0.879,14.47,不分配不转增,工程建设,08-31,http://data.eastmoney.com/bbsj/601669.html
69,601727,上海电气,详细,0.1199,513亿,24.38,78.36,17.66亿,13.02,68.63,3.832,3.14,-0.7808,19.48,不分配不转增,输配电气,08-31,http://data.eastmoney.com/bbsj/601727.html
70,601111,中国国航,详细,0.25,642亿,11.96,3.25,34.69亿,4.27,-68.03,6.1631,3.92,0.9084,15.55,不分配不转增,民航机场,08-31,http://data.eastmoney.com/bbsj/601111.html
71,601126,四方股份,详细,0.0415,13.11亿,10.53,59.78,3373万,3.15,382.82,4.7201,0.86,-0.125,43.67,不分配不转增,输配电气,08-31,http://data.eastmoney.com/bbsj/601126.html
72,601857,中国石油,详细,0.148,1.11万亿,13.62,4.33,271亿,113.71,66.86,6.603,2.24,0.7986,21.47,10派0.888,石油行业,08-31,http://data.eastmoney.com/bbsj/601857.html
73,000679,大连友谊,详细,-0.209,5.30亿,-52.43,-14.33,-7465万,-846.02,-1345.35,3.5818,-5.16,-0.1363,17.59,不分配不转增,商业百货,08-31,http://data.eastmoney.com/bbsj/000679.html
74,000518,四环生物,详细,0.001,1.81亿,-8.31,10.26,103万,-94.61,-171.15,0.6116,0.16,0.0185,75.68,不分配不转增,医药制造,08-31,http://data.eastmoney.com/bbsj/000518.html
75,000517,荣安地产,详细,0.0548,12.68亿,-65.71,1148.48,1.75亿,-62.84,625.39,1.3597,4.04,0.2843,36.23,不分配不转增,房地产,08-31,http://data.eastmoney.com/bbsj/000517.html
76,000504,南华生物,详细,-0.0496,3600万,153.64,10.58,-1545万,-28.36,-12.64,0.0295,-91.32,-0.0234,66.97,不分配不转增,环保工程,08-31,http://data.eastmoney.com/bbsj/000504.html
77,600887,伊利股份,详细,0.57,399亿,19.26,2.21,34.46亿,2.43,-35.93,4.0334,12.79,0.8691,38.67,不分配不转增,食品饮料,08-31,http://data.eastmoney.com/bbsj/600887.html
78,600877,ST嘉陵,详细,-0.2331,2.01亿,-35.76,4.66,-1.60亿,-312.81,80.41,-0.2152,-,-0.1253,1.84,不分配不转增,交运设备,08-31,http://data.eastmoney.com/bbsj/600877.html
