scode,sname,trademarket,reportdate,frdate,fcdate,scdate,tcdate,radate,securitytypecode,trademarketcode
000928,中钢国际,深交所主板,2018-06-30T00:00:00,2018-07-28T00:00:00,2018-07-27T00:00:00,-,-,2018-07-27T00:00:00,058001001,069001002001
600356,恒丰纸业,上交所主板,2018-06-30T00:00:00,2018-07-28T00:00:00,-,-,-,2018-07-28T00:00:00,058001001,069001001001
600829,人民同泰,上交所主板,2018-06-30T00:00:00,2018-07-28T00:00:00,-,-,-,2018-07-28T00:00:00,058001001,069001001001
600774,汉商集团,上交所主板,2018-06-30T00:00:00,2018-07-28T00:00:00,-,-,-,2018-07-28T00:00:00,058001001,069001001001
600375,华菱星马,上交所主板,2018-06-30T00:00:00,2018-07-28T00:00:00,-,-,-,2018-07-28T00:00:00,058001001,069001001001
000990,诚志股份,深交所主板,2018-06-30T00:00:00,2018-07-28T00:00:00,-,-,-,2018-07-28T00:00:00,058001001,069001002001
600059,古越龙山,上交所主板,2018-06-30T00:00:00,2018-07-28T00:00:00,-,-,-,2018-07-28T00:00:00,058001001,069001001001
002075,沙钢股份,深交所中小板,2018-06-30T00:00:00,2018-07-28T00:00:00,2018-08-08T00:00:00,-,-,2018-08-08T00:00:00,058001001,069001002003
601168,西部矿业,上交所主板,2018-06-30T00:00:00,2018-07-28T00:00:00,-,-,-,2018-07-28T00:00:00,058001001,069001001001
600961,株冶集团,上交所主板,2018-06-30T00:00:00,2018-07-28T00:00:00,-,-,-,2018-07-28T00:00:00,058001001,069001001001
300654,世纪天鸿,深交所创业板,2018-06-30T00:00:00,2018-07-28T00:00:00,-,-,-,2018-07-28T00:00:00,058001001,069001002002
300685,艾德生物,深交所创业板,2018-06-30T00:00:00,2018-07-28T00:00:00,-,-,-,2018-07-28T00:00:00,058001001,069001002002
300534,陇神戎发,深交所创业板,2018-06-30T00:00:00,2018-07-28T00:00:00,-,-,-,2018-07-28T00:00:00,058001001,069001002002
300110,华仁药业,深交所创业板,2018-06-30T00:00:00,2018-07-28T00:00:00,-,-,-,2018-07-28T00:00:00,058001001,069001002002
002644,佛慈制药,深交所中小板,2018-06-30T00:00:00,2018-07-28T00:00:00,-,-,-,2018-07-28T00:00:00,058001001,069001002003
002380,科远股份,深交所中小板,2018-06-30T00:00:00,2018-07-28T00:00:00,-,-,-,2018-07-28T00:00:00,058001001,069001002003
002507,涪陵榨菜,深交所中小板,2018-06-30T00:00:00,2018-07-28T00:00:00,-,-,-,2018-07-28T00:00:00,058001001,069001002003
002903,宇环数控,深交所中小板,2018-06-30T00:00:00,2018-07-30T00:00:00,-,-,-,2018-07-30T00:00:00,058001001,069001002003
002037,久联发展,深交所中小板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002003
000038,深大通,深交所主板,2018-06-30T00:00:00,2018-07-31T00:00:00,2018-08-30T00:00:00,2018-08-21T00:00:00,-,2018-08-21T00:00:00,058001001,069001002001
002014,永新股份,深交所中小板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002003
600136,当代明诚,上交所主板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001001001
600113,浙江东日,上交所主板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001001001
600337,美克家居,上交所主板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001001001
