scode,sname,securitytype,trademarket,ldate,rdate,basiceps,yysr,ys,yshz,qntqys,jlr,lr,sjlhz,qntqjlr,parentbvps,roeweighted,publishname,securitytypecode,trademarketcode
600884,杉杉股份,A股,上交所主板,2018-08-01T00:00:00,2018-06-30T00:00:00,0.414,4285912000.0,11.254173766978132,36.32965501104826,3852360639.5,464925900.0,37.12627847623246,110.4299216176552,339049455.12,9.3,4.445,电子元件,058001001,069001001001
601009,南京银行,A股,上交所主板,2018-08-01T00:00:00,2018-06-30T00:00:00,0.7,13496000000.0,8.618992726245772,1.439420184032881,12425083000.0,5978000000.0,17.111732389700357,7.172579471893599,5104527000.0,7.3,9.81,银行,058001001,069001001001
002864,盘龙药业,A股,深交所中小板,2018-08-01T00:00:00,2018-06-30T00:00:00,0.35,208339577.45,29.125194456001875,21.05775106996812,161346961.24,29999006.58,71.07362418429022,112.06486235793946,17535728.68,6.66,5.27,医药制造,058001001,069001002003
002908,德生科技,A股,深交所中小板,2018-08-01T00:00:00,2018-06-30T00:00:00,0.19,168438242.25,7.808294594673402,18.178021788806863,156238666.87,24871083.99,10.213299326250073,121.13114578552542,22566318.35,4.67,3.91,电子信息,058001001,069001002003
603833,欧派家居,A股,上交所主板,2018-08-01T00:00:00,2018-06-30T00:00:00,1.31,4845409000.0,25.048560433243622,54.18785120904304,3874821895.76,550042100.0,32.83146505074851,547.7888785437452,414090215.59,15.46,8.46,木业家具,058001001,069001001001
300003,乐普医疗,A股,深交所创业板,2018-08-01T00:00:00,2018-06-30T00:00:00,0.4545,2954630000.0,35.36972814456913,5.780081032703676,2182637167.48,809785000.0,63.482972752569786,67.09104607303146,495332930.62,3.5451,12.63,医疗行业,058001001,069001002002
002111,威海广泰,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.3291,998278700.15,27.857313745132362,59.808143215077145,780775593.44,125675850.63,15.759771876888292,46.651839015568555,108566083.53,7.03,4.71,机械行业,058001001,069001002003
002085,万丰奥威,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.2538,5206084030.51,5.061962302075136,1.700109628072188,4955251088.44,555002049.15,15.36612093496493,46.1201040339293,481078885.77,2.66,8.98,汽车行业,058001001,069001002003
002099,海翔药业,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.17,1368684009.9,11.4591149947985,24.09741235635219,1227969565.31,276681173.29,13.6451308293663,418.027148076972,243460649.19,3.24,5.27,医药制造,058001001,069001002003
002094,青岛金王,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.292,2741115289.29,37.03828808467715,29.54704739484476,2000255058.35,129974246.37,-57.60640315910543,71.82099905942616,306589334.37,4.22,4.95,化工行业,058001001,069001002003
002064,华峰氨纶,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.15,2204992558.09,19.455479691861644,20.520943785811845,1845869744.76,247559298.76,28.580220195060008,24.281138675699967,192532955.99,2.17,7.03,化纤行业,058001001,069001002003
