scode,hycode,companycode,sname,publishname,reporttimetypecode,combinetypecode,dataajusttype,mkt,noticedate,reportdate,parentnetprofit,totaloperatereve,totaloperateexp,totaloperateexp_tb,operateexp,operateexp_tb,saleexp,manageexp,financeexp,operateprofit,sumprofit,incometax,operatereve,intnreve,intnreve_tb,commnreve,commnreve_tb,operatetax,operatemanageexp,commreve_commexp,intreve_intexp,premiumearned,premiumearned_tb,investincome,surrenderpremium,indemnityexp,tystz,yltz,sjltz,kcfjcxsyjlr,sjlktz,eutime,yyzc
000711,016046,10001028,京蓝科技,园林工程,002,001,2,szzb,2018-09-25T00:00:00,2018-06-30T00:00:00,108101630.61,1124093699.59,1002373359.73,1.53116706037239,771501315.66,1.4801656568426,27030625.23,107939273.44,97225745.84,135830010.9,132783374.05,20694161.22,-,-,-,-,-,7432544.02,-,-,-,-,-,-,-,-,1.353527,0.651351,0.074383,106028757.23,0.0674166839,2018/9/25 7:42:41,771501315.66
002939,016027,80000082,长城证券,券商信托,002,001,2,zxb,2018-09-25T00:00:00,2018-06-30T00:00:00,312339325.93,1375316130.91,989141974.49,0.0823015876179492,-,-,-,810521068.77,-,386174156.42,395536730.18,81423275.99,-,27465052.8,-,711526028.89,-0.00793958602428614,10672508.09,-,-,-,-,-,-,-,-,-0.084867,-0.344283,-0.358822,300563030.85,-,2018/9/25 0:10:36,-
000677,016026,10000997,恒天海龙,化纤行业,002,001,2,szzb,2018-09-22T00:00:00,2018-06-30T00:00:00,2031320.15,334359593.55,326077953.31,0.234159565443458,295051194.58,0.266050145497148,10897946.09,11596746.46,4842485.9,8925538.0,8930154.82,3985162.02,-,-,-,-,-,1824935.16,-,-,-,-,-,-,-,-,0.232347,0.255569,-0.298983,1811918.73,-0.356574179,2018/9/21 15:44:54,295051194.58
603628,016022,80289543,清源股份,电子元件,002,001,2,shzb,2018-09-22T00:00:00,2018-06-30T00:00:00,8641773.62,341137188.68,331818146.54,-0.0323487436446182,244558217.23,-0.164170222345219,21556574.32,30500127.07,31156454.87,13820307.45,14441810.01,1944923.13,-,-,-,-,-,1469949.59,-,-,-,-,-,-,-,-,-0.076921,-0.50686,-0.641149,5435861.45,-0.7570008005,2018/9/21 19:40:27,244558217.23
603708,016036,80315570,家家悦,商业百货,002,001,2,shzb,2018-09-22T00:00:00,2018-06-30T00:00:00,193691479.04,6226525440.97,5993653431.94,0.114277906255271,4889401497.68,0.110239702813719,957218910.19,140232717.51,-23819424.26,245063370.61,242925616.03,55075455.14,-,-,-,-,-,32582093.47,-,-,-,-,-,-,-,-,0.118362,0.294977,0.356295,185244180.89,0.2919819157,2018/9/21 17:41:56,4889401497.68
300366,016014,80171552,创意信息,电子信息,002,001,2,cyb,2018-09-22T00:00:00,2018-06-30T00:00:00,41847899.28,497872188.89,451356908.69,-0.0165907381860781,354246848.45,-0.0575201783896853,23376591.24,67251592.35,3780742.82,52143695.27,52774777.08,5390182.26,-,-,-,-,-,2394156.72,-,-,-,-,-,-,-,-,-0.03829,-0.180919,-0.306112,36191497.07,-0.2899635368,2018/9/21 19:38:57,354246848.45
300387,016041,80198773,富邦股份,化工行业,002,001,2,cyb,2018-09-20T00:00:00,2018-06-30T00:00:00,46565005.56,290257637.52,240413751.33,0.178529104409955,189344070.34,0.299074665927212,23397039.82,21720977.1,3516605.33,50282728.96,51549694.05,5668332.16,-,-,-,-,-,544050.74,-,-,-,-,-,-,-,-,0.151482,-0.025402,0.061102,45525221.93,0.0364038663,2018/9/19 17:58:53,189344070.34
300180,016018,80081639,华峰超纤,塑胶制品,002,001,2,cyb,2018-09-20T00:00:00,2018-06-30T00:00:00,207684590.91,1535595779.34,1303166481.36,0.4288693636291,1082572066.98,0.397752720688966,27406869.48,161910976.56,17957283.25,239986467.12,250856650.09,41033693.89,-,-,-,-,-,6117938.77,-,-,-,-,-,-,-,-,0.536024,1.744313,1.407266,192238304.82,1.4595787427,2018/9/19 16:56:16,1082572066.98
300562,016047,80390746,乐心医疗,医疗行业,002,001,2,cyb,2018-09-20T00:00:00,2018-06-30T00:00:00,8535175.37,335242992.92,334323356.33,-0.201806778088336,253498075.26,-0.135840101590894,36371761.9,41960029.62,223395.13,6255900.8,9562619.12,2392849.66,-,-,-,-,-,3116299.83,-,-,-,-,-,-,-,-,-0.158283,1.36396,1.575784,2413583.96,1.1345330994,2018/9/20 17:01:59,253498075.26
601012,016040,80143352,隆基股份,材料行业,002,001,2,shzb,2018-09-20T00:00:00,2018-06-30T00:00:00,1306984765.73,10001972858.94,8911981566.44,0.855460676257081,7739454562.91,0.900443736178296,456864490.6,351770297.76,85115548.05,1456546219.68,1456458408.56,152980101.55,-,-,-,-,-,54959627.59,-,-,-,-,-,-,-,-,0.593633,-0.043927,0.057294,1254372837.93,0.0175362889,2018/9/19 15:36:49,7739454562.91
600545,016061,10001319,卓郎智能,专用设备,002,001,2,shzb,2018-09-19T00:00:00,2018-06-30T00:00:00,363066000.0,4627086000.0,4076040000.0,0.137830193630223,3384536000.0,0.154501690033323,300778000.0,381237000.0,-18653000.0,550920000.0,564386000.0,154564000.0,-,-,-,-,-,7574000.0,-,-,-,-,-,-,-,-,0.139787,0.126594,0.303456,348973000.0,0.1999085386,2018/9/18 19:44:27,3384536000.0
