scode,hycode,companycode,sname,publishname,mkt,reporttimetypecode,combinetypecode,dataajusttype,noticedate,reportdate,sumasset,fixedasset,monetaryfund,monetaryfund_tb,accountrec,accountrec_tb,inventory,inventory_tb,sumliab,accountpay,accountpay_tb,advancereceive,advancereceive_tb,sumshequity,sumshequity_tb,tsatz,tdetz,ld,zcfzl,cashanddepositcbank,cashanddepositcbank_tb,loanadvances,loanadvances_tb,saleablefasset,saleablefasset_tb,borrowfromcbank,borrowfromcbank_tb,acceptdeposit,acceptdeposit_tb,sellbuybackfasset,sellbuybackfasset_tb,settlementprovision,settlementprovision_tb,borrowfund,borrowfund_tb,agenttradesecurity,agenttradesecurity_tb,premiumrec,premiumrec_tb,stborrow,stborrow_tb,premiumadvance,premiumadvance_tb,eutime
002939,016027,80000082,长城证券,券商信托,zxb,002,001,2,2018-09-25T00:00:00,2018-06-30T00:00:00,51821552748.62,162381622.52,10994620251.16,-0.116576744624063,262454612.67,4.41085987285641,-,-,37230103376.23,503996799.34,-0.138331214460064,-,-,14591449372.39,0.0407574828090427,0.106508,0.134601,-,0.7184289432,-,-,-,-,9136659867.98,0.665296097170029,-,-,-,-,13440446976.35,0.152616572077271,1858616200.63,-0.495045472469358,2400000000.0,7.0,11726064012.34,-0.173960389305531,-,-,-,-,-,-,2018-09-25T00:10:05
000711,016046,10001028,京蓝科技,园林工程,szzb,002,001,2,2018-09-25T00:00:00,2018-06-30T00:00:00,10142181073.44,316341969.25,1048523479.26,0.460792681717945,588987957.65,0.38085668420868,3358319306.85,1.63624417373812,5675324472.78,919654314.93,0.853817273739697,421949641.69,2.11461670097826,4466856600.66,0.455467043549203,1.004189,1.849816,0.01268191,0.5595763309,-,-,-,-,1020155279.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-25T08:31:16
603628,016022,80289543,清源股份,电子元件,shzb,002,001,2,2018-09-22T00:00:00,2018-06-30T00:00:00,2520032954.21,658263607.77,347615791.88,0.459753139035087,595778063.23,0.619852797844643,569043730.04,0.236939538498923,1550406350.96,249595009.14,-0.34438852689623,7207749.17,-0.779900937323652,969626603.25,0.0295613477761948,0.268789,0.484515,0.01273791,0.61523257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-21T19:39:59
300366,016014,80171552,创意信息,电子信息,cyb,002,001,2,2018-09-22T00:00:00,2018-06-30T00:00:00,3791092412.66,84409223.26,452127857.73,0.0835650019948952,881559606.63,0.0685029731178793,385438188.22,0.188595195657664,761933101.01,279729118.79,-0.102429227441152,50600026.27,-0.499027330484056,3029159311.65,0.0591344827236684,0.01947,-0.112644,0.03086784,0.200979828,-,-,-,-,38907750.0,7.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-21T19:39:25
603708,016036,80315570,家家悦,商业百货,shzb,002,001,2,2018-09-22T00:00:00,2018-06-30T00:00:00,6713417812.99,1647431545.62,2314716076.66,-0.195119925581679,25834149.31,0.762971195447303,1150707064.98,0.11870875494234,4192775923.85,1422086816.77,0.0587523248810692,1526732230.91,0.116419448989212,2520641889.15,0.0900923927239391,0.153013,0.194461,0.01043802,0.6245367175,-,-,-,-,310176.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-21T17:41:28
000677,016026,10000997,恒天海龙,化纤行业,szzb,002,001,2,2018-09-22T00:00:00,2018-06-30T00:00:00,875408733.37,366292363.79,38552106.07,-0.450153766047332,168872086.4,0.30756314159672,72641791.73,0.258136394918139,219597720.08,44647099.83,0.324836911329603,3395064.66,0.0232206970235306,655811013.29,0.00802203473795423,0.060134,0.253689,0.0173834,0.2508516442,-,-,-,-,1100000.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-21T15:44:22
300562,016047,80390746,乐心医疗,医疗行业,cyb,002,001,2,2018-09-20T00:00:00,2018-06-30T00:00:00,785773036.85,137140317.09,187481514.46,0.704093585536136,114747908.31,0.240328068579831,74597208.77,0.0477804198340494,268903946.67,71615502.17,-0.376117590721,20514065.16,0.245753157385325,516869090.18,0.0775571380126067,0.150772,0.32364,0.01871043,0.3422157978,-,-,-,-,52398293.65,0.445069156785248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-20T17:02:30
300387,016041,80198773,富邦股份,化工行业,cyb,002,001,2,2018-09-20T00:00:00,2018-06-30T00:00:00,1567431863.8,188047621.45,465443076.8,0.329353390825687,219778448.53,0.0884334180180196,83567358.9,-0.158866736869228,452442027.73,30231657.79,-0.458716705470883,11524528.07,-0.322372995129379,1114989836.07,0.450489224304771,0.109017,-0.298162,0.01857791,0.2886517993,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-19T17:59:19
601012,016040,80143352,隆基股份,材料行业,shzb,002,001,2,2018-09-20T00:00:00,2018-06-30T00:00:00,37894641245.82,12698183279.34,6974708603.65,0.0539206248655062,4486244328.92,0.375206197808919,4571992394.84,1.9270252486151,22584814989.77,4636669356.56,0.417659032921575,1367884160.27,0.619110313298723,15309826256.05,0.372471180308176,0.42038,0.454804,0.01339531,0.5959896768,-,-,-,-,60193548.39,-0.499194847008876,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-19T15:36:20
300180,016018,80081639,华峰超纤,塑胶制品,cyb,002,001,2,2018-09-20T00:00:00,2018-06-30T00:00:00,7110893558.42,2652986756.43,175853879.14,-0.74232277936942,429480960.86,0.794213317666502,566553879.0,0.308768326679633,2068062055.28,389814248.6,-0.261666216956257,37422908.7,0.995253895579321,5042831503.14,0.0717989968631563,0.05957,0.030887,0.01564578,0.290830124,-,-,-,-,15752070.41,0.968499351157296,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-19T16:56:49
600545,016061,10001319,卓郎智能,专用设备,shzb,002,001,2,2018-09-19T00:00:00,2018-06-30T00:00:00,10154045000.0,845097000.0,945404000.0,0.122196745839541,3519609000.0,0.239661589566638,1717379000.0,-0.448858172571215,7609333000.0,1452146000.0,3.55764185140314,621261000.0,-0.0103887280598481,2544712000.0,0.227781677632103,-0.000437,-0.058935,0.01383303,0.749389332,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-18T19:43:22
002280,016057,80124453,联络互动,软件服务,zxb,002,001,2,2018-09-18T00:00:00,2018-06-30T00:00:00,12714338023.88,907113531.71,917626884.57,-0.647819909275796,2402288540.58,0.252404734277296,1207023113.84,-0.0638580809542375,5577666827.82,1350447978.0,-0.244213121044033,195678244.25,-0.236801705022568,7136671196.06,-0.011638675366827,-0.117133,-0.223218,0.01312082,0.4386910917,-,-,-,-,1352393431.79,0.0385359597946441,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-17T17:15:19
