scode,hycode,companycode,sname,publishname,reporttimetypecode,combinetypecode,dataajusttype,mkt,noticedate,reportdate,netoperatecashflow,netoperatecashflow_zb,salegoodsservicerec,salegoodsservicerec_zb,employeepay,employeepay_zb,netinvcashflow,netinvcashflow_zb,invincomerec,invincomerec_zb,buyfilassetpay,buyfilassetpay_zb,netfinacashflow,netfinacashflow_zb,nicashequi,nicashequi_tb,niclientdeposit,niclientdeposit_zb,niloanadvances,niloanadvances_zb,intandcommrec,intandcommrec_zb,agentuwsecurityrec,invpay,invpay_zb,cashequibeginning,cashequibeginning_zb,cashequiending,cashequiending_zb,premiumrec,premiumrec_zb,indemnitypay,indemnitypay_zb,eutime,nideposit,nideposit_zb
601231,016022,80193852,环旭电子,电子元件,002,001,2,shzb,2018-09-26T00:00:00,2018-06-30T00:00:00,49626989.87,0.164858264340476,14034032713.72,46.6203225491205,1229781996.9,4.08527146331429,-58551513.11,-0.19450506369838,43418879.54,0.144235246572947,241045423.38,0.800740287285973,-304866884.97,-1.0127518441618,-301028220.02,-6.17956230151491,-,-,-,-,-,-,-,5853513268.96,19.4450648798677,5043407968.81,16.7539374497013,4742379748.79,15.7539374497013,-,-,-,-,2018/9/25 20:42:15,-,-
002939,016027,80000082,长城证券,券商信托,002,001,2,zxb,2018-09-25T00:00:00,2018-06-30T00:00:00,-772032815.61,-1.23274994920584,-,-,746007095.9,1.19119316042452,1045582.87,0.00166954331968981,23529500.0,0.0375709287783582,22551045.93,0.0360085739396721,1396662438.55,2.23013259976498,626268787.2,-,-,-,-,-,1515715405.79,2.42023143539797,-,-,-,12226967664.59,19.5235143671391,12853236451.79,20.5235143671391,-,-,-,-,2018/9/25 0:11:06,-,-
000711,016046,10001028,京蓝科技,园林工程,002,001,2,szzb,2018-09-25T00:00:00,2018-06-30T00:00:00,-594734128.67,-3.90156061877325,674482160.61,4.42472175219867,80745788.19,0.529706590133679,-125939349.74,-0.826184312641214,14141589.04,0.0927713144842138,40549905.27,0.266014519547108,568238546.14,3.72774493141447,-152434932.27,0.433643912904913,-,-,-,-,-,-,-,265858.0,0.00174407529849588,971134681.18,6.37081452865331,818699748.91,5.37081452865331,-,-,-,-,2018/9/25 7:42:41,-,-
603708,016036,80315570,家家悦,商业百货,002,001,2,shzb,2018-09-22T00:00:00,2018-06-30T00:00:00,240602301.93,0.377591267189911,7645588452.16,11.9986692101705,594697568.67,0.933293683175962,-563939472.41,-0.885023203425765,5791875.86,0.00908952960067823,281610238.97,0.441947421672102,-313949404.79,-0.492699166372329,-637203036.29,-7.82138972553573,-,-,-,-,-,-,-,1586698644.34,2.49009900137681,2858334807.25,4.4857520200973,2221131770.96,3.4857520200973,-,-,-,-,2018/9/21 17:40:54,-,-
603628,016022,80289543,清源股份,电子元件,002,001,2,shzb,2018-09-22T00:00:00,2018-06-30T00:00:00,-65776109.14,-0.987062486638706,290478418.32,4.35903481751334,36081684.91,0.541456131945643,11746681.22,0.176275376065295,-,-,136762897.1,2.05231849460896,119604578.34,1.79483393063548,66638242.29,-0.179419953944304,-,-,-,-,-,-,-,-,-,136322438.34,2.04570879506012,202960680.63,3.04570879506012,-,-,-,-,2018/9/21 19:39:33,-,-
000677,016026,10000997,恒天海龙,化纤行业,002,001,2,szzb,2018-09-22T00:00:00,2018-06-30T00:00:00,4926492.11,0.560450677148309,211961622.49,24.1133106887235,35428229.96,4.0304084585752,-11592538.1,-1.31879757095817,220497.76,0.0250844041038534,11813035.86,1.34388197506202,17857743.91,2.03154383346827,8790233.13,1.16598905299316,-,-,-,-,-,-,-,-,-,9645627.92,1.09731195718583,18435861.05,2.09731195718583,-,-,-,-,2018/9/21 15:44:22,-,-
300366,016014,80171552,创意信息,电子信息,002,001,2,cyb,2018-09-22T00:00:00,2018-06-30T00:00:00,-137880710.03,-1.88342475153798,516786131.42,7.05920205194917,74160104.71,1.01301318188071,20722945.38,0.283071564143885,2978967.98,0.0406921463223559,50256022.6,0.686487884041917,44006264.66,0.601117357644455,-73207442.94,0.886616590777697,-,-,-,-,-,-,-,2000000.0,0.0273196265253955,518919789.45,7.08834742220543,445712346.51,6.08834742220543,-,-,-,-,2018/9/21 19:39:25,-,-
601012,016040,80143352,隆基股份,材料行业,002,001,2,shzb,2018-09-20T00:00:00,2018-06-30T00:00:00,1168821797.63,0.497899531259215,8353368705.25,3.55840246238801,917852774.1,0.39099071125813,-2464344382.71,-1.04977158665294,82429885.56,0.0351138227104375,2746525891.09,1.16997642971568,-1052507332.63,-0.44835141561011,-2347505318.34,-8.27961279077356,-,-,-,-,-,-,-,3359735279.13,1.43119389459181,7355599429.44,3.13336859004068,5008094111.1,2.13336859004068,-,-,-,-,2018/9/19 15:36:49,-,-
300387,016041,80198773,富邦股份,化工行业,002,001,2,cyb,2018-09-20T00:00:00,2018-06-30T00:00:00,78931796.76,0.218560734181734,272182055.32,0.753667245441184,5343350.19,0.0147956411541912,-25149236.7,-0.0696377868348199,523328.31,0.00144908673496268,16265915.01,0.0450400278804357,309288102.75,0.856413227438047,361143537.77,4.81075746186229,-,-,-,-,-,-,-,-,-,104299539.03,0.288803559033707,465443076.8,1.28880355903371,-,-,-,-,2018/9/19 17:58:53,-,-
300180,016018,80081639,华峰超纤,塑胶制品,002,001,2,cyb,2018-09-20T00:00:00,2018-06-30T00:00:00,-117736923.09,-2.10048084490391,929633455.07,16.5850882960795,179501074.65,3.20238170869964,-336537141.23,-6.00397734372571,4206404.92,0.0750441979328404,336717943.81,6.00720294488831,398801947.05,7.11481010972722,-56052366.95,-1.19627019506079,-,-,-,-,-,-,-,602500000.0,10.7488770373862,222991193.57,3.97826542755836,166938826.62,2.97826542755836,-,-,-,-,2018/9/19 16:56:49,-,-
