scode,sname,securitytype,trademarket,latestnoticedate,reportdate,basiceps,cutbasiceps,totaloperatereve,ystz,yshz,parentnetprofit,sjltz,sjlhz,roeweighted,bps,mgjyxjje,xsmll,publishname,assigndscrpt,gxl,securitytypecode,trademarketcode,firstnoticedate
797,中国武夷,A股,深交所主板,2018-09-01T00:00:00,2018-06-30T00:00:00,0.079,-,1031483441,9.8365,-18.5662,79558304.85,46.9234,5.8368,1.47,4.77320762,-1.171931,22.7569,房地产,不分配不转增,-,58001001,69001002001,2018-08-31T00:00:00
300063,天龙集团,A股,深交所创业板,2018-09-01T00:00:00,2018-06-30T00:00:00,0.1065,-,3813687321,29.4004,0.9702,77330762.41,3.5911,181.3276,4.02,2.70363936,-0.044609,8.1716,化工行业,不分配不转增,-,58001001,69001002002,2018-08-31T00:00:00
2246,北化股份,A股,深交所中小板,2018-09-01T00:00:00,2018-06-30T00:00:00,0.11,-,1004277792,14.5197,112.7674,61020493.75,18.8099,2281.9687,2.67,4.21698115,-0.035566,23.5467,化工行业,不分配不转增,-,58001001,69001002003,2018-08-28T00:00:00
2683,宏大爆破,A股,深交所中小板,2018-09-01T00:00:00,2018-06-30T00:00:00,0.1318,-,1862338340,17.2818,68.7702,92424396.97,14.9349,830.4203,3.05,4.32475784,0.263938,21.233,化工行业,不分配不转增,-,58001001,69001002003,2018-08-21T00:00:00
601012,隆基股份,A股,上交所主板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.47,-,10001972859,59.3633,88.2395,1306984766,5.7294,40.6169,8.84,5.19965133,0.41868,22.6207,材料行业,不分配不转增,-,58001001,69001001001,2018-08-31T00:00:00
2492,恒基达鑫,A股,深交所中小板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.0816,-,125177735.1,16.5109,25.7476,33056439.42,-14.7929,101.473,2.71,3.00910392,-0.094153,48.0601,交运物流,不分配不转增,-,58001001,69001002003,2018-08-31T00:00:00
2323,*ST百特,A股,深交所风险警示板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.0083,-,247630814.4,-60.3173,-25.7842,6163080.9,-94.711,-25.8751,0.73,1.12021441,0.073015,24.3433,工程建设,不分配不转增,-,58001001,69001002005,2018-08-31T00:00:00
601801,皖新传媒,A股,上交所主板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.44,-,4376953786,15.585,-6.0347,873514482.5,5.2705,-67.3356,9.28,4.93771099,0.071418,19.4952,文化传媒,不分配不转增,-,58001001,69001001001,2018-08-31T00:00:00
601996,丰林集团,A股,上交所主板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.07,-,646135067.9,6.0748,22.3522,68119702.5,1.9465,36.587,3.56,1.98891133,0.018328,23.0484,木业家具,不分配不转增,-,58001001,69001001001,2018-08-31T00:00:00
601886,江河集团,A股,上交所主板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.27,-,7214579498,9.4757,38.2657,315076252,30.4624,130.2445,4.53,5.88851785,-0.854058,16.8755,装修装饰,不分配不转增,-,58001001,69001001001,2018-08-29T00:00:00
2488,金固股份,A股,深交所中小板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.12,-,1478686659,13.276,38.6775,84216529.79,229.4628,30.2437,2.01,6.24971772,-0.780344,20.7762,汽车行业,"10转5.00派1.50元(含税,扣税后1.35元)",0.014409222,58001001,69001002003,2018-08-31T00:00:00
601618,中国中冶,A股,上交所主板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.12,-,1.26113E+11,24.7583,28.4754,2907197000,8.6934,-24.9633,3.75,3.1489473,-0.391176,12.268,工程建设,不分配不转增,-,58001001,69001001001,2018-08-31T00:00:00
2340,格林美,A股,深交所中小板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.11,-,7026384337,63.9178,30.5518,411216823,50.8318,40.357,5.33,2.05119382,0.110671,20.0853,材料行业,不分配不转增,-,58001001,69001002003,2018-08-31T00:00:00
2474,榕基软件,A股,深交所中小板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.0405,-,345994890.2,15.9457,23.2708,25218143.1,21.2692,-26.9812,1.76,2.32066235,-0.08584,30.4432,软件服务,不分配不转增,-,58001001,69001002003,2018-08-31T00:00:00
601258,庞大集团,A股,上交所主板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.04,-,27113671570,-17.6549,-8.0242,258563137,-12.8224,364.5812,1.93,2.11399942,-1.034038,8.8234,商业百货,不分配不转增,-,58001001,69001001001,2018-08-31T00:00:00
2266,浙富控股,A股,深交所中小板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.0322,-,529961847.5,-1.1131,34.5219,63714752.02,23.8524,174.0075,2.04,1.60328356,-0.090538,20.9068,机械行业,不分配不转增,-,58001001,69001002003,2018-08-31T00:00:00
601186,中国铁建,A股,上交所主板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.56,-,3.08981E+11,6.9283,34.701,8008700000,22.7756,34.0588,5.53,10.28150338,-3.379211,9.6952,工程建设,不分配不转增,-,58001001,69001001001,2018-08-31T00:00:00
601558,ST锐电,A股,上交所风险警示板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.0007,-,309190079.9,1157.6797,1761.9469,4046650.34,-99.0673,205.2023,0.3115,0.21565479,-0.049644,15.046,输配电气,不分配不转增,-,58001001,69001001003,2018-08-31T00:00:00
2180,纳思达,A股,深交所中小板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.2957,-,10420368183,-6.3219,6.6328,312542201.5,130.7804,166.9374,7.45,3.99628099,0.522074,37.9405,电子元件,不分配不转增,-,58001001,69001002003,2018-08-31T00:00:00
601390,中国中铁,A股,上交所主板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.394,-,3.16104E+11,5.2702,12.9642,9552401000,23.9385,98.7528,6.09,6.6687855,-1.258315,9.9866,工程建设,不分配不转增,-,58001001,69001001001,2018-08-31T00:00:00
2250,联化科技,A股,深交所中小板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.01,-,1819703478,-6.0718,-16.6745,9145422.83,-94.5713,-185.1429,0.16,6.0645178,0.103928,33.3134,化工行业,不分配不转增,-,58001001,69001002003,2018-08-31T00:00:00
601118,海南橡胶,A股,上交所主板,2018-08-31T00:00:00,2018-06-30T00:00:00,-0.0925,-,2217209815,-59.3941,2.8298,-385094209.2,-210.9447,47.7244,-4.39,2.14660318,-0.154764,8.1869,塑胶制品,不分配不转增,-,58001001,69001001001,2018-08-31T00:00:00
601007,金陵饭店,A股,上交所主板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.157,-,496138552.4,16.0557,-14.11,47072920.48,-3.259,98.3808,3.35,4.80570461,0.4192,64.4425,旅游酒店,不分配不转增,-,58001001,69001001001,2018-08-31T00:00:00
